,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,action_1,action_2,action_3,action_4,action_5,max_value,max_action,secound_max_value,secound_max_action
1,1.9780604,1.1809803,-0.73655945,1.413784,0.98200417,1.932346,1.4958317,1.0048277,1.490517,1.4520243,2.684062,1.6697454,1.0007383,2.0082002,1.599404,6.5944684,4.3465574,1.2690065500000003,4.9125012,4.03343247,6.5944684,1,4.9125012,4
2,5.3043838,7.041133,6.6722913,6.435835,6.1866193,1.8532649,2.6029634,2.45264,2.3562064,2.323446,2.5877323,2.9433117,3.2369657,2.8837166,2.6404524,9.745381,12.587408100000001,12.361896999999999,11.675758,11.150517700000002,12.587408100000001,2,12.361896999999999,3
3,7.831165,5.745879,7.3945475,8.533445,8.392607,3.1218724,2.4728975,3.140457,3.2909367,3.1806395,4.015426,2.9742656,4.04995,3.9418526,3.755466,14.9684634,11.1930421,14.584954499999998,15.7662343,15.3287125,15.7662343,4,15.3287125,5
4,2.5095756,-0.7889232,-5.9265,-1.0141342,-1.0423476,2.928357,1.4062506,-0.49499795,1.3007325,1.3339348,4.127901,1.4193335,-1.2255409,1.4382378,1.1849859,9.5658336,2.0366608999999998,-7.6470388499999995,1.7248361,1.4765731,9.5658336,1,2.0366608999999998,2
5,5.271193,5.786834,5.660271,5.884294,5.394643,1.9242736,2.342653,2.1884768,2.2599962,2.05856,2.7528183,2.678463,2.9776225,2.8908944,2.3299665,9.9482849,10.807949999999998,10.8263703,11.035184600000001,9.7831695,11.035184600000001,4,10.8263703,3
6,7.2795663,7.6124377,7.923799,7.864966,7.1317325,2.691375,2.886828,2.9860413,2.97931,2.700259,3.7411523,3.4355254,4.0549617,3.7046552,3.2219362,13.7120936,13.9347911,14.964801999999999,14.5489312,13.053927700000001,14.964801999999999,3,14.5489312,4
7,7.265996,8.425914,7.8112774,8.244469,7.9807234,2.6162753,3.1573868,2.9090068,2.9872725,2.897001,3.5160346,3.522256,3.6548216,3.5185351,3.2345266,13.398305899999999,15.1055568,14.3751058,14.7502766,14.112251,15.1055568,2,14.7502766,4
8,0.21734941,0.911074,-0.68219304,0.52938354,1.6090521,0.19398683,0.53515315,-0.07369769,0.15279634,0.9575852,0.39084002,0.26906222,-0.16006514,0.14926222,0.7128667,0.80217626,1.7152893699999998,-0.9159558700000001,0.8314421,3.279504,3.279504,5,1.7152893699999998,2
9,2.2136993,0.9291144,2.5621653,1.1348107,0.69834507,2.21335,1.6456494,2.271122,1.5475719,1.6576136,3.615727,2.179525,3.613221,2.285061,2.1139936,8.0427763,4.754288799999999,8.4465083,4.967443599999999,4.46995227,8.4465083,3,8.0427763,1
10,9.466871,9.023236,9.939197,8.898087,9.320155,3.3799968,3.2454739,3.59158,3.1312454,3.3163443,4.807682,4.046772,5.0338492,4.185554,4.1607394,17.654549799999998,16.3154819,18.5646262,16.2148864,16.7972387,18.5646262,3,17.654549799999998,1
11,8.321126,7.891415,8.550585,8.187653,8.272308,3.101692,2.9632733,3.1611667,3.0890846,3.0968084,4.3622437,3.719254,4.4215503,3.8765178,3.8467033,15.7850617,14.573942299999999,16.133302,15.153255399999999,15.2158197,16.133302,3,15.7850617,1
12,1.9930154,0.2783757,-3.3942087,-0.49145168,-1.3637,2.5526257,1.7955315,0.48731837,1.5005256,0.9285779,3.7223349,1.9813428,0.21611598,1.754253,1.0967892,8.267976,4.05525,-2.69077435,2.76332692,0.6616671,8.267976,1,4.05525,2
13,4.0577564,1.271697,-1.3522136,0.3739004,0.999424,3.3467164,2.1130366,1.0998373,1.7570883,2.1837656,4.617593,2.4824617,1.2448322,2.2301688,2.6191528,12.0220658,5.867195300000001,0.9924559,4.3611575,5.802342400000001,12.0220658,1,5.867195300000001,2
14,7.426665,7.5888677,7.902234,7.706818,6.627687,3.299137,3.3906543,3.4723587,3.5652046,3.1088939,4.7899103,4.4051003,4.918165,4.6387753,3.9472167,15.5157123,15.3846223,16.292757700000003,15.910797899999999,13.6837976,16.292757700000003,3,15.910797899999999,4
15,6.5952806,6.6640964,6.8690786,7.1874475,6.8277817,2.2836027,2.4660304,2.4814262,2.6697645,2.4123604,3.125181,2.901915,3.194501,3.093122,2.8192544,12.0040643,12.032041799999998,12.545005799999998,12.950334000000002,12.0593965,12.950334000000002,4,12.545005799999998,3
